                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.10316,               0.075713,               0.020164,                      0,               0.010409,                0.50362,               0.013481,              0.0037166,                0.11731,                0.23462,               0.051352,               0.013137,               0.088003,               0.021775,               0.015934,                      0,               0.070385,              0.0032906,              0.0032906
                      1,                0.09164,               0.029626,                0.01955,                      0,              0.0033522,                0.75151,              0.0094235,               0.002941,              0.0032903,                0.73764,               0.010995,              0.0027849,               0.087312,                0.01684,               0.012797,                      0,               0.040186,              0.0064252,              0.0064252
                      2,               0.087282,               0.027644,               0.016642,                      0,              0.0035432,                0.79433,               0.043669,               0.010822,              0.0030643,                0.68697,               0.025417,              0.0054506,               0.084319,               0.017141,               0.010873,                      0,              0.0097872,              0.0093598,              0.0093598
                      3,               0.080081,               0.028157,               0.015121,                      0,              0.0039279,                0.88058,                0.10259,                0.03232,              0.0029352,                0.65802,               0.070304,               0.016841,               0.069624,               0.018925,               0.011546,                      0,                 0.0091,                 0.0091,                 0.0091
                      4,               0.071856,               0.026084,                0.01541,                      0,              0.0039333,                0.88179,                0.20929,               0.076863,              0.0034598,                0.77563,                 0.1871,               0.054132,               0.066077,               0.015597,               0.011034,                      0,                 0.0091,                 0.0091,                 0.0091
                      5,                0.07117,               0.025975,               0.014591,                      0,              0.0041474,                0.91255,                0.19714,               0.069174,              0.0036513,                0.80338,                0.19864,                0.06146,               0.068053,               0.016332,               0.010398,                      0,                 0.0088,                 0.0088,                 0.0088
                      6,               0.064711,               0.024084,               0.015689,                      0,              0.0041207,                0.90048,                0.25039,                0.10626,              0.0036377,                0.79493,                0.21958,               0.064062,               0.064512,               0.015172,                0.01111,                      0,                 0.0085,                 0.0085,                 0.0085
                      7,               0.061664,               0.021154,               0.014479,                      0,                0.11734,                0.47346,                0.15191,               0.046361,               0.086752,                0.38721,               0.099497,                0.02216,               0.059176,               0.015362,               0.011339,                      0,                 0.0082,                 0.0082,                 0.0082
                      8,               0.058019,               0.023286,               0.014549,                      0,               0.078448,                0.71291,                 0.2806,                0.12207,               0.034067,                0.72497,                0.20593,               0.058135,               0.059284,               0.014751,                0.01122,                      0,                 0.0079,                 0.0079,                 0.0079
                      9,               0.056636,               0.024925,               0.014359,                      0,                 0.2885,                0.55124,                0.43958,                0.22071,                  0.256,                0.48914,                0.32556,               0.091843,               0.053923,               0.017429,               0.010745,                      0,                 0.0076,                 0.0076,                 0.0076
                     10,               0.055171,               0.022425,               0.014312,                      0,                0.39765,                0.48936,                0.39172,                0.16136,                0.35827,                0.44089,                0.29154,               0.076162,               0.056814,                0.01433,               0.010712,                      0,                 0.0073,                 0.0073,                 0.0073
                     11,               0.053045,               0.022654,               0.014453,                      0,                0.39159,                0.47467,                0.31112,                0.13791,                0.31901,                0.42013,                  0.216,               0.056358,               0.054563,               0.014468,               0.010793,                      0,                  0.007,                  0.007,                  0.007
                     12,               0.052794,               0.021684,               0.012514,                      0,                0.50662,                 0.4228,                0.37142,               0.099128,                0.31798,                0.31747,                0.18564,               0.041093,               0.052327,               0.014151,                0.01039,                      0,                 0.0067,                 0.0067,                 0.0067
                     13,               0.051135,               0.022157,               0.012849,                      0,                 0.6796,                0.39988,                0.47254,                0.24145,                0.55295,                0.33957,                0.32722,               0.090281,               0.046431,                0.01444,               0.010736,                      0,                 0.0064,                 0.0064,                 0.0064
                     14,               0.048241,                0.02161,               0.011998,                      0,                0.57203,                0.41797,                0.44135,                0.26249,                0.50599,                0.36972,                0.34531,                0.10268,               0.043931,               0.014277,               0.010433,                      0,                 0.0061,                 0.0061,                 0.0061
                     15,               0.046728,               0.021744,               0.012116,                      0,                0.52345,                0.46261,                 0.4161,                0.17915,                0.38899,                0.36791,                0.26143,               0.068736,               0.045346,               0.014135,               0.010309,                      0,                 0.0058,                 0.0058,                 0.0058
                     16,               0.046022,               0.021981,               0.012574,                      0,                0.57642,                 0.5392,                0.46422,                0.21208,                0.47323,                0.45175,                0.32785,               0.085697,               0.044788,                 0.0144,               0.009947,                      0,                 0.0055,                 0.0055,                 0.0055
